name,group,dietary,contact,id_card,photo
Mony Vy,Press,none,guest1@example.com,100000137,https://i.pravatar.cc/150?u=g1
Thida Chea,Guests,gluten-free,guest2@example.com,100000274,https://i.pravatar.cc/150?u=g2
Chenda Chhim,Organizing Committee,vegetarian,guest3@example.com,100000411,https://i.pravatar.cc/150?u=g3
Piseth Lim,Sponsors,none,guest4@example.com,100000548,https://i.pravatar.cc/150?u=g4
Narith Sok,Volunteers,vegan,guest5@example.com,100000685,https://i.pravatar.cc/150?u=g5
Rithy Ouk,Staff,halal,guest6@example.com,100000822,https://i.pravatar.cc/150?u=g6
Theary Meas,Speakers,none,guest7@example.com,100000959,https://i.pravatar.cc/150?u=g7
Sreyleak Sam,VIP,none,guest8@example.com,100001096,https://i.pravatar.cc/150?u=g8
Sophea Rin,Press,gluten-free,guest9@example.com,100001233,https://i.pravatar.cc/150?u=g9
Veasna Ung,Guests,vegetarian,guest10@example.com,100001370,https://i.pravatar.cc/150?u=g10
Dara Long,Organizing Committee,none,guest11@example.com,100001507,https://i.pravatar.cc/150?u=g11
Kosal Yin,Sponsors,vegan,guest12@example.com,100001644,https://i.pravatar.cc/150?u=g12
Chanthou Heng,Volunteers,halal,guest13@example.com,100001781,https://i.pravatar.cc/150?u=g13
Sokha Keo,Staff,none,guest14@example.com,100001918,https://i.pravatar.cc/150?u=g14
Bopha Nou,Speakers,none,guest15@example.com,100002055,https://i.pravatar.cc/150?u=g15
Sothea Chan,VIP,gluten-free,guest16@example.com,100002192,https://i.pravatar.cc/150?u=g16
Nita Pen,Press,vegetarian,guest17@example.com,100002329,https://i.pravatar.cc/150?u=g17
Chan Kim,Guests,none,guest18@example.com,100002466,https://i.pravatar.cc/150?u=g18
Ravy Tep,Organizing Committee,vegan,guest19@example.com,100002603,https://i.pravatar.cc/150?u=g19
Vibol Prak,Sponsors,halal,guest20@example.com,100002740,https://i.pravatar.cc/150?u=g20
Mony Vy,Volunteers,none,guest21@example.com,100002877,https://i.pravatar.cc/150?u=g21
Thida Chea,Staff,none,guest22@example.com,100003014,https://i.pravatar.cc/150?u=g22
